OBJECTID,Parcela,E_m,N_m,EllipsH_m,Pvert_m,Phorz_m,DateTime_,COD_MASA,ESTRATO,gridcode,CoordX,CoordY,ALT
76,20,345812.56900000002,4718490.89300000016,1037.17500000000,0.20000000000,0.20000000000,30/03/202311:22:14am,Pnr F d,Pino laricio,332,345812.56860000000,4718490.89309999999,1032.65515136719
77,138,373122.97389999998,4718525.63200000022,1052.16890000000,0.54340000000,0.37610000000,"21/03/2023
07:37:14",(Psr F x Qp LA) d,Pino silvestre,222,373122.97389999998,4718525.63200000022,995.636047363281
78,208,344991.27000000002,4718551.94299999997,1049.69100000000,0.20000000000,0.10000000000,03/04/202311:27:47am,(PsxPn)r F d,Pinar mixto de laricio y silvestre,212,344991.26970000000,4718551.94350000005,1048.84802246094
79,19,372796.78350000002,4718611.95899999980,1011.33000000000,0.00000000000,0.00000000000,,Pnr F d,Pino laricio,112,372796.78350000002,4718611.95899999980,1011.08935546875
80,18,348939.10800000001,4718682.66000000015,1041.51300000000,0.20000000000,0.20000000000,30/03/202310:14:07am,Pnr F d,Pino laricio,222,348939.10790000000,4718682.65959999990,1032.96350097656
81,129,347899.89199999999,4719024.79299999960,1037.26500000000,0.30000000000,0.20000000000,29/03/202302:29:44pm,Psr F d,Pino silvestre,222,347899.89230000001,4719024.79279999994,1035.19604492188
82,306,370278.94459999999,4719045.13200000022,989.79490000000,0.06630000000,0.07130000000,"21/03/2023
03:10:23",Ptr F s,Pino pinaster,222,370278.94459999999,4719045.13200000022,935.134765625
83,1004,346268.02510000003,4719290.83299999963,1093.02610000000,0.01860000000,0.02300000000,"30/03/2023
06:02:27",Pnr F d,Pino laricio,242,346268.02510000003,4719290.83299999963,1037.96228027344
84,17,372044.49510000000,4719296.48699999973,1029.08180000000,0.55920000000,0.35480000000,"21/03/2023
05:00:35",(Pnr F x Qp LA) d,Pino laricio,122,372044.49510000000,4719296.48699999973,973.548034667969
85,23,346968.55099999998,4719563.11899999995,1045.96900000000,0.40000000000,0.30000000000,29/03/202302:01:19pm,Pnr F d,Pino laricio,342,346968.55099999998,4719563.11899999995,1040.11608886719
86,505,361628.11839999998,4719731.44500000030,1031.96180000000,0.00000000000,0.00000000000,,Qpt LA d,Rebollo,121,361628.11839999998,4719731.44500000030,1028.85205078125
87,1106,354152.33840000001,4719802.11199999973,1113.54060000000,0.05870000000,0.03230000000,"24/03/2023
06:26:23",Psr F d,Pino silvestre,332,354152.33840000001,4719802.11199999973,1052.82604980469
88,134,371773.81709999999,4720085.06300000008,1070.59000000000,0.26390000000,0.12120000000,"21/03/2023
04:07:35",(Psr F x Qp LA) d,Pino silvestre,212,371773.81709999999,4720085.06300000008,1008.87603759766
89,133,372900.39470000000,4720276.17700000014,1069.71920000000,0.69870000000,0.49060000000,"21/03/2023
05:58:06",(Psr F x Qp LA) d,Pino silvestre,212,372900.39470000000,4720276.17700000014,1017.98004150391
90,132,372778.78310000000,4720470.12399999984,1067.48430000000,0.03380000000,0.02420000000,"21/03/2023
06:40:46",(Psr F x Qp LA) d,Pino silvestre,222,372778.78310000000,4720470.12399999984,1015.96405029297
91,131,366511.31589999999,4721046.03299999982,1121.55510000000,0.21010000000,0.42180000000,"21/03/2023
12:15:51",Psr F d,Pino silvestre,122,366511.31589999999,4721046.03299999982,1030.98266601562
92,207,358789.76280000003,4721053.88999999966,1050.83380000000,0.00000000000,0.00000000000,,(PsxPn)r F d,Pinar mixto de laricio y silvestre,222,358789.76280000003,4721053.88999999966,1049.11206054688
93,16,350550.46279999998,4721063.60099999979,1059.54860000000,0.04380000000,0.02950000000,"30/03/2023
07:00:28",Pnr F d,Pino laricio,332,350550.46279999998,4721063.60099999979,999.384033203125
94,120,345271.07919999998,4721444.78600000031,1113.61670000000,0.00000000000,0.00000000000,,Psr F d,Pino silvestre,322,345271.07919999998,4721444.78600000031,1053.04309082031
95,130,345804.47200000001,4721598.68699999992,1067.70600000000,0.10000000000,0.10000000000,02/04/202312:19:29pm,Psr LA d,Pino silvestre,212,345804.47240000003,4721598.68719999958,1067.92407226562
96,15,350440.00439999998,4721614.94099999964,1081.51790000000,0.01360000000,0.01420000000,"30/03/2023
07:59:04",Pnr F d,Pino laricio,322,350440.00439999998,4721614.94099999964,1033.30810546875
97,128,348082.40700000001,4721910.17300000042,1053.10000000000,0.30000000000,0.30000000000,03/04/202310:41:40am,Psr F d,Pino silvestre,212,348082.40730000002,4721910.17349999957,1051.89807128906
98,127,345613.38600000000,4722263.03000000026,1119.70920000000,0.98330000000,0.51530000000,"30/03/2023
04:47:10",Psr F d,Pino silvestre,322,345613.38600000000,4722263.03000000026,1061.85827636719
99,12,346086.92859999998,4722415.86600000039,1134.26760000000,0.04800000000,0.03030000000,"30/03/2023
04:08:45",Pnr LA d,Pino laricio,212,346086.92859999998,4722415.86600000039,1073.85998535156
100,206,353904.99510000000,4722548.49700000044,1124.18160000000,0.16240000000,0.11130000000,"24/03/2023
07:15:32",(PsxPn)r F d,Pinar mixto de laricio y silvestre,222,353904.99510000000,4722548.49700000044,1068.73132324219
101,13,370167.52720000001,4722594.74299999978,1036.21750000000,0.02920000000,0.02460000000,"23/03/2023
03:00:36",Pnr F d,Pino laricio,242,370167.52720000001,4722594.74299999978,975.320068359375
102,126,353720.21759999997,4722641.36299999990,1127.64020000000,0.05860000000,0.02260000000,"24/03/2023
07:45:20",Psr F d,Pino silvestre,312,353720.21759999997,4722641.36299999990,1069.72802734375
103,14,370756.94640000002,4722760.11500000022,1047.49330000000,0.46200000000,0.35400000000,"23/03/2023
03:53:46",(Pnr F x Qp LA) d,Pino laricio,121,370756.94640000002,4722760.11500000022,1007.68005371094
104,11,371985.60700000002,4723026.57199999969,1080.65960000000,0.05770000000,0.03890000000,"23/03/2023
04:37:01",(Pnr F x Qp LA) d,Pino laricio,122,371985.60700000002,4723026.57199999969,1026.1025390625
105,125,346020.24609999999,4723041.40600000042,1133.80500000000,0.02090000000,0.01980000000,"30/03/2023
03:30:10",Psr F d,Pino silvestre,312,346020.24609999999,4723041.40600000042,1077.6640625
106,10,354877.81449999998,4723296.49700000044,1126.35710000000,0.09270000000,0.08680000000,"27/03/2023
02:43:33",Pnr LA d,Pino laricio,112,354877.81449999998,4723296.49700000044,1072.78002929688
107,124,364076.92099999997,4723816.48599999957,1105.94300000000,0.02270000000,0.04320000000,"28/03/2023
02:53:45",Psr F s,Pino silvestre,112,364076.92099999997,4723816.48599999957,1050.82141113281
108,123,344744.16710000002,4723827.12899999972,1143.47760000000,0.28380000000,0.26520000000,"30/03/2023
02:48:21",Psr F d,Pino silvestre,212,344744.16710000002,4723827.12899999972,1080.28405761719
109,122,346147.65970000002,4724023.15899999999,1133.95960000000,0.10540000000,0.10810000000,"30/03/2023
02:07:15",Psr F d,Pino silvestre,322,346147.65970000002,4724023.15899999999,1074.53210449219
110,9,371025.27789999999,4724092.84599999990,1077.64780000000,0.03270000000,0.02950000000,"23/03/2023
06:02:09",Pnr F d,Pino laricio,132,371025.27789999999,4724092.84599999990,1016.70806884766
111,121,371907.51720000000,4724474.58100000024,1105.28900000000,0.04720000000,0.04810000000,"23/03/2023
05:17:23",Psr F d,Pino silvestre,322,371907.51720000000,4724474.58100000024,1043.14001464844
112,205,345982.28860000003,4724857.86699999962,1145.46770000000,0.05330000000,0.02950000000,"29/03/2023
10:01:34",(PsxPn)r F d,Pinar mixto de laricio y silvestre,232,345982.28860000003,4724857.86699999962,1087.7392578125
113,8,364439.34250000003,4724886.72200000007,1071.32580000000,0.24540000000,0.17770000000,"28/03/2023
03:47:08",Pnr F d,Pino laricio,232,364439.34250000003,4724886.72200000007,1011.80804443359
114,119,356619.25929999998,4725068.43200000003,1138.51110000000,0.05740000000,0.04580000000,"27/03/2023
03:26:29",(PsxPt)r F d,Pino silvestre,312,356619.25929999998,4725068.43200000003,1079.65209960938
115,204,357582.61440000002,4725147.62200000044,1079.31060000000,0.00000000000,0.00000000000,,(PsxPn)r F d,Pinar mixto de laricio y silvestre,212,357582.61440000002,4725147.62200000044,1075.85571289062
116,7,371337.97269999998,4725276.94600000046,1062.89470000000,0.00000000000,0.00000000000,,Pnr F d,Pino laricio,122,371337.97269999998,4725276.94600000046,1063.31201171875
117,117,344398.90529999998,4725571.01300000027,1137.44900000000,0.04590000000,0.02870000000,"29/03/2023
09:15:13",Psr F d,Pino silvestre,322,344398.90529999998,4725571.01300000027,1080.57202148438
118,116,357691.30099999998,4725684.58499999996,1116.83390000000,0.72840000000,0.42010000000,"27/03/2023
04:48:09",Psr F d,Pino silvestre,332,357691.30099999998,4725684.58499999996,1039.59411621094
119,1303,371598.50459999999,4725776.69799999986,1105.75340000000,0.02880000000,0.01800000000,"23/03/2023
10:47:38",Ptr F d,Pino pinaster,212,371598.50459999999,4725776.69799999986,1049.14404296875
120,305,371391.63689999998,4725853.43499999959,1042.41750000000,0.00000000000,0.00000000000,,Ptr F d,Pino pinaster,112,371391.63689999998,4725853.43499999959,1044.73999023438
121,115,353789.46940000000,4725968.94500000030,1146.52430000000,0.04430000000,0.02740000000,"27/03/2023
01:58:58",Psr F d,Pino silvestre,322,353789.46940000000,4725968.94500000030,1088.14807128906
122,203,361967.27750000003,4726137.31599999964,1090.67610000000,0.16310000000,0.13380000000,"28/03/2023
06:55:11",(PsxPn)r F d,Pinar mixto de laricio y silvestre,322,361967.27750000003,4726137.31599999964,1041.64404296875
123,202,356125.15130000003,4726161.05599999987,1141.88870000000,0.03370000000,0.03120000000,"27/03/2023
05:36:10",(PsxPn)r F d,Pinar mixto de laricio y silvestre,122,356125.15130000003,4726161.05599999987,1087.26403808594
124,507,365470.93540000002,4726435.96499999985,967.53930000000,0.00000000000,0.00000000000,,Qpt F d,Rebollo,132,365470.93540000002,4726435.96499999985,967.059814453125
125,113,363639.96769999998,4726471.86699999962,1085.27670000000,0.04960000000,0.03650000000,"28/03/2023
04:32:15",Psr F d,Pino silvestre,232,363639.96769999998,4726471.86699999962,1029.26000976562
126,112,359197.20510000002,4726540.38100000005,1082.17810000000,0.04660000000,0.09170000000,"27/03/2023
07:14:42",Psr F d,Pino silvestre,322,359197.20510000002,4726540.38100000005,1026.00402832031
127,5,345334.55040000001,4726769.02500000037,1172.97080000000,1.19490000000,0.74830000000,"29/03/2023
08:31:36",Pnr F d,Pino laricio,242,345334.55040000001,4726769.02500000037,1103.50805664062
128,6,359863.08399999997,4726839.92100000009,1139.63610000000,0.51750000000,0.14250000000,"27/03/2023
07:50:38",Pnr F d,Pino laricio,222,359863.08399999997,4726839.92100000009,1081.34399414062
129,111,361535.54780000000,4726896.03699999955,1086.66260000000,0.08100000000,0.05160000000,"28/03/2023
06:05:20",Psr F d,Pino silvestre,322,361535.54780000000,4726896.03699999955,1029.86096191406
130,109,356084.65840000001,4727036.91600000020,1108.82680000000,0.13490000000,0.16430000000,"27/03/2023
06:25:14",Psr F d,Pino silvestre,342,356084.65840000001,4727036.91600000020,1051.76403808594
131,108,362153.55880000000,4727158.25100000016,1089.81340000000,0.14610000000,0.08240000000,"28/03/2023
05:27:11",Psr F d,Pino silvestre,242,362153.55880000000,4727158.25100000016,1038.71203613281
132,304,372497.53670000000,4727339.94099999964,1059.34020000000,0.05700000000,0.01950000000,"23/03/2023
08:00:06",Ptr F d,Pino pinaster,122,372497.53670000000,4727339.94099999964,1001.42407226562
133,114,358450.29119999998,4727344.73400000017,1106.11310000000,0.35590000000,0.37670000000,"27/03/2023
08:50:43",Psr F d,Pino silvestre,342,358450.29119999998,4727344.73400000017,1050.44006347656
134,118,345722.55180000002,4727798.79600000009,1181.86710000000,0.89080000000,0.54540000000,"29/03/2023
05:47:21",Psr F d,Pino silvestre,242,345722.55180000002,4727798.79600000009,1110.35205078125
135,4,347426.94150000002,4727921.76499999966,1164.20830000000,0.00650000000,0.01560000000,"29/03/2023
07:31:13",Pnr F d,Pino laricio,132,347426.94150000002,4727921.76499999966,1107.30407714844
136,3,356796.70030000003,4728079.93499999959,1168.86250000000,1.01560000000,0.84690000000,"27/03/2023
09:30:09",Pnr F d,Pino laricio,232,356796.70030000003,4728079.93499999959,1099.33020019531
137,107,346981.12839999999,4728183.54600000009,1176.03840000000,0.06230000000,0.03660000000,"29/03/2023
06:55:10",Psr F d,Pino silvestre,332,346981.12839999999,4728183.54600000009,1114.27807617188
138,2,348652.39529999997,4728286.47400000039,1155.66960000000,0.41250000000,0.26500000000,"29/03/2023
02:06:09",Pnr LA d,Pino laricio,222,348652.39529999997,4728286.47400000039,1089.96496582031
139,105,346389.03370000003,4728418.44500000030,1119.26230000000,0.00000000000,0.00000000000,,Psr F s,Pino silvestre,112,346389.03370000003,4728418.44500000030,1118.26513671875
140,104,345537.89880000002,4728629.91500000004,1138.79760000000,0.65010000000,0.31960000000,"29/03/2023
05:11:03",Psr F d,Pino silvestre,132,345537.89880000002,4728629.91500000004,1094.8974609375
141,302,372263.46320000000,4728957.34999999963,1123.10640000000,0.05160000000,0.03040000000,"23/03/2023
08:53:55",Ptr F d,Pino pinaster,222,372263.46320000000,4728957.34999999963,1065.08410644531
142,1101,348042.19530000002,4729009.30900000036,1096.89100000000,0.00000000000,0.00000000000,,Psr F d,Pino silvestre,112,348042.19530000002,4729009.30900000036,1096
143,508,366477.27500000002,4729158.69299999997,1045.99330000000,0.00000000000,0.00000000000,,Qpt (LAxLB) d,Rebollo,111,366477.27500000002,4729158.69299999997,1040.43200683594
144,301,372091.92170000001,4729458.20100000035,1136.44580000000,0.06550000000,0.04240000000,"23/03/2023
09:58:37",Ptr F d,Pino pinaster,222,372091.92170000001,4729458.20100000035,1076.85607910156
145,103,347073.75650000002,4729475.91700000037,1175.25230000000,0.02630000000,0.04320000000,"29/03/2023
03:54:33",Psr F d,Pino silvestre,222,347073.75650000002,4729475.91700000037,1119.99206542969
146,102,347496.12380000000,4729617.42499999981,1175.81670000000,0.11380000000,0.09230000000,"29/03/2023
03:17:44",Psr F d,Pino silvestre,212,347496.12380000000,4729617.42499999981,1116.80236816406
147,101,346562.27069999999,4729726.80999999959,1166.55320000000,0.76480000000,0.51800000000,"29/03/2023
04:33:51",Psr F d,Pino silvestre,232,346562.27069999999,4729726.80999999959,1110.30810546875
148,201,356683.79180000001,4729773.38100000005,1179.88640000000,0.14480000000,0.09510000000,"28/03/2023
11:14:58",(PsxPn)r F d,Pinar mixto de laricio y silvestre,312,356683.79180000001,4729773.38100000005,1118.55603027344
149,509,362187.75050000002,4730044.32199999969,1050.17030000000,0.00000000000,0.00000000000,,Qpt (LAxLB) d,Rebollo,111,362187.75050000002,4730044.32199999969,1047.14440917969
150,510,367891.25949999999,4732351.84200000018,1091.22480000000,0.00000000000,0.00000000000,,Qpt (LAxLB) s,Rebollo,111,367891.25949999999,4732351.84200000018,1092.53601074219
